"RS-varenummer","Producentens varenummer","Brand","Produktdetaljer","URL","Pris pr. stk.","Antal/mængde per forpakning","Materiale","Produkttype","Fri længde","Udstrakt længde maks.","Udvendig diameter","Wirediameter","Injektionstid","Fjederstivhed","Standarder/godkendelser"
"751-736","-","RS PRO","RS PRO Forlængerfjeder, Stål, 26.4 mm x 3.5 mm UD","https://dk.rs-online.com/web/p/traekfjedre/0751736","Kr. 7,875","10","Stål","Forlængerfjeder","26.4mm","41.1mm","3.5mm","0.55mm","15.7N","0.9N/mm","DIN 17223, BS 1408 CR3, RoHS"
"751-663","-","RS PRO","RS PRO Forlængerfjeder, Stål, 27.2 mm x 4 mm UD","https://dk.rs-online.com/web/p/traekfjedre/0751663","Kr. 7,836","10","Stål","Forlængerfjeder","27.2mm","95.7mm","4mm","0.36mm","4.26N","0.06N/mm","DIN 17223, RoHS, BS 1408 CR3"
"751-691","-","RS PRO","RS PRO Forlængerfjeder, Stål, 25 mm x 5 mm UD","https://dk.rs-online.com/web/p/traekfjedre/0751691","Kr. 7,408","10","Stål","Forlængerfjeder","25mm","80.8mm","5mm","0.45mm","6.48N","0.11N/mm","DIN 17223, RoHS, BS 1408 CR3"
"751-764","-","RS PRO","RS PRO Forlængerfjeder, Stål, 31 mm x 4.5 mm UD","https://dk.rs-online.com/web/p/traekfjedre/0751764","Kr. 6,537","10","Stål","Forlængerfjeder","31mm","53.6mm","4.5mm","0.63mm","18.3N","0.7N/mm","RoHS, BS 1408 CR3, DIN 17223"
"751-758","-","RS PRO","RS PRO Forlængerfjeder, Stål, 41.4 mm x 6 mm UD","https://dk.rs-online.com/web/p/traekfjedre/0751758","Kr. 6,739","10","Stål","Forlængerfjeder","41.4mm","125.7mm","6mm","0.55mm","9.5N","0.1N/mm","RoHS, BS 1408 CR3, DIN 17223"
"751-792","-","RS PRO","RS PRO Forlængerfjeder, Stål, 34.5 mm x 5 mm UD","https://dk.rs-online.com/web/p/traekfjedre/0751792","Kr. 8,544","10","Stål","Forlængerfjeder","34.5mm","59.5mm","5mm","0.7mm","22.6N","0.77N/mm","DIN 17223, RoHS, BS 1408 CR3"
"751-742","-","RS PRO","RS PRO Forlængerfjeder, Stål, 30.4 mm x 6 mm UD","https://dk.rs-online.com/web/p/traekfjedre/0751742","Kr. 8,544","10","Stål","Forlængerfjeder","30.4mm","86.6mm","6mm","0.55mm","9.5N","0.15N/mm","BS 1408 CR3, RoHS, DIN 17223"
"751-685","-","RS PRO","RS PRO Forlængerfjeder, Stål, 22.1 mm x 3.2 mm UD","https://dk.rs-online.com/web/p/traekfjedre/0751685","Kr. 6,816","10","Stål","Forlængerfjeder","22.1mm","42.3mm","3.2mm","0.45mm","10.7N","0.49N/mm","DIN 17223, BS 1408 CR3, RoHS"
"751-714","-","RS PRO","RS PRO Forlængerfjeder, Stål, 27.7 mm x 5.5 mm UD","https://dk.rs-online.com/web/p/traekfjedre/0751714","Kr. 7,89","10","Stål","Forlængerfjeder","27.7mm","80mm","5.5mm","0.5mm","7.8N","0.13N/mm","RoHS, DIN 17223, BS 1408 CR3"
"751-679","-","RS PRO","RS PRO Forlængerfjeder, Stål, 32.9 mm x 3.6 mm UD","https://dk.rs-online.com/web/p/traekfjedre/0751679","Kr. 7,89","10","Stål","Forlængerfjeder","32.9mm","87.6mm","3.6mm","0.4mm","6.53N","0.11N/mm","RoHS, DIN 17223, BS 1408 CR3"
